Type,Policy Document ID,Title,Translated title,Source title,Source country,Source type,Source sub-type,Published on,Cited research titles,Cited research DOIs,Topics,Document URL,Text
Policy citation,unfccc-fca69e557bf179e133b81520ca9342cd,Global Stocktake NDC Dialogue 2025 - Roundtable 2 (China),,United Nations Framework Convention on Climate Change,IGO,igo,,7/14/25,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Climate change adaptation  ，Climate change  ，Climate finance  ，Climate change mitigation  ，Paris Agreement  ，Greenhouse gas emissions  ，Climate variability and change  ，Natural environment  ，Environmental impact of fossil fuels  ，Economy  ，Environmental impact  ，Global environmental issues  ，Climate resilience  ，Societal collapse  ，Earth sciences  ，Multilateralism  ，Change  ，Photovoltaics  ，Environmental social science  ，Environmental issues  ，Nature  ，Nationally determined contribution  ，Human impact on the environment  ，Net-zero emissions  ，Economy and the environment,https://unfccc.int/documents/648788,
Policy citation,dgap-eb3a5df480a1f2eabeb6072ea6d91513,Advanced Technology as Europe’s Strategic Imperative,,Deutsche Gesellschaft für Auswärtige Politik (DGAP),Germany,think tank,,6/25/25,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Government budget balance  ，National debt of the United States  ，Fiscal policy  ，Tax Cuts and Jobs Act  ，Government spending  ，Inflation  ，Tariff  ，Tax  ，Gross domestic product  ，International Monetary Fund  ，Tax cut  ，Government debt  ，Interest  ，United States federal budget  ，Tariffs in the second Trump administration  ，Macroeconomics  ，Economy  ，Ugo Panizza  ，Debt-to-GDP ratio  ，Protectionism  ，World Trade Organization  ，Interest rate  ，Liberation Day tariffs  ，Balance of trade  ，Economic growth  ，Department of Government Efficiency  ，Medicare (United States)  ，United States Congress  ，Deficit spending  ，Economy of China  ，Foreign exchange reserves  ，Social Security (United States)  ，Productivity  ，Macroeconomic policy  ，Current account (balance of payments)  ，Centre for Economic Policy Research  ，Recession  ，Policy  ，Fiscal policy of the United States,https://dgap.org/en/research/publications/advanced-technology-europes-strategic-imperative,
Policy citation,ceprorg-a9b41881f33c7a4aa3ec978449b0b88f,The Economic Consequences of The Second Trump Administration: A Preliminary Assessment,,Centre for Economic Policy Research,UK,think tank,,6/18/25,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,National debt of the United States  ，Government budget balance  ，Tax Cuts and Jobs Act  ，Fiscal policy  ，Debt-to-GDP ratio  ，Inflation  ，Tax cut  ，Tax  ，Ugo Panizza  ，Gross domestic product  ，Tariff  ，International Monetary Fund  ，Interest  ，Government spending  ，United States federal budget  ，Macroeconomics  ，Economy  ，Congressional Budget Office  ，Government debt  ，Finance  ，Interest rate  ，Export  ，Inflationism  ，China–United States trade war  ，United States Congress  ，World Trade Organization  ，Centre for Economic Policy Research  ，Deficit spending  ，Foreign exchange reserves  ，Protectionism  ，Presidency of Donald Trump  ，Economic growth  ，Balance of trade  ，Political economy  ，Fiscal sustainability  ，Administrative Procedure Act  ，Politics  ，Money  ，Trade  ，Economy of China  ，European Union  ，Medicare (United States)  ，Immigration  ，Government revenue  ，Macroeconomic policy  ，Economics  ，Government finances  ，Policy  ，Productivity,https://cepr.org/publications/books-and-reports/economic-consequences-second-trump-administration-preliminary,
Policy citation,wuppertal-9d6707a1d43e13ea93906c2c7bebc9d6,An in-depth review of key technologies and pathways to carbon neutrality : classification and assessment of decarbonization technologies,,Wuppertal Institut,Germany,think tank,,6/4/25,Challenges and opportunities for carbon neutrality in China,10.1038/s43017-021-00244-x,Carbon capture and storage  ，Climate change mitigation  ，Net-zero emissions  ，Renewable energy  ，Wind power  ，Efficient energy use  ，Greenhouse gas emissions  ，Energy conservation  ，Energy storage  ，Electricity generation  ，Electrical grid  ，Sustainable energy  ，International Energy Agency  ，Green hydrogen  ，Heat pump  ，Photovoltaics  ，Low-carbon electricity  ，Zero-energy building  ，Electrification  ，EU Carbon Border Adjustment Mechanism  ，Solar power  ，Hydrogen  ，Energy development  ，Infrastructure  ，Electric vehicle  ，Hydrogen production  ，Climate change  ，Low-carbon economy  ，Bioenergy with carbon capture and storage  ，Smart grid  ，Transport  ，Electric power transmission  ，Electrolysis  ，Direct air capture  ，Offshore wind power  ，Carbon emission trading  ，Sustainability  ，Energy transition  ，Energy system  ，Innovation  ，Fuel  ，Fuel cell  ，Hydrogen economy  ，Sustainable technologies  ，Sustainable development  ，Energy  ，Carbon price  ，Technology  ，Policy  ，Paris Agreement  ，Energy technology  ，Green building  ，Zero-emissions vehicle  ，Carbon sequestration  ，Natural gas  ，Environmental technology  ，Energy and the environment  ，Distributed generation  ，Strategy  ，Electrolysis of water  ，World energy supply and consumption  ，Steelmaking  ，Economy and the environment  ，Coal  ，Economy  ，Hydroelectricity  ，Greenhouse gas  ，Small modular reactor  ，Power station  ，Natural environment  ，Virtual power plant  ，Heating  ， ventilation  ， and air conditioning  ，Direct reduction  ，Carbon dioxide removal  ，Engine  ，Market (economics)  ，Wind turbine  ，Energy economics  ，Renewable energy commercialization  ，Climate forcing  ，Proton exchange membrane electrolysis  ，China  ，Synthetic fuel  ，Inflation Reduction Act  ，Energy policy of the European Union  ，Proton-exchange membrane fuel cell,https://epub.wupperinst.org/frontdoor/index/index/searchtype/all/docId/8869,
Policy citation,mitceepr-0f5301620b5cbae97a7b71e26f37001a,Good Spillover， Bad Spillover: Industrial Policy， Trade， and the Political Economy of Decarbonization,,CEEPR,USA,think tank,,4/8/25,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Climate change mitigation  ，Spillover (economics)  ，EU Carbon Border Adjustment Mechanism  ，Carbon price  ，European Green Deal  ，Greenhouse gas emissions  ，Politics of climate change  ，German Renewable Energy Sources Act  ，Policy  ，European Union Emissions Trading System  ，Sustainable energy  ，Photovoltaics  ，Externality  ，Carbon emission trading  ，Sustainability  ，Clean technology  ，Climate change  ，Intergovernmental Panel on Climate Change  ，Innovation  ，Economy  ，Feed-in tariff  ，Renewable energy  ，Subsidy  ，Low-carbon economy  ，Social cost of carbon  ，Environmental social science  ，Kyoto Protocol  ，Industrial policy  ，Technology  ，Solar power  ，Greenhouse gas  ，World Trade Organization  ，Carbon leakage  ，Life-cycle assessment  ，European Commission  ，Emissions trading  ，Tariff  ，Paris Agreement  ，Inflation Reduction Act  ，Energy development  ，Sustainable Development Goals  ，Natural environment  ，OECD,https://ceepr.mit.edu/workingpaper/good-spillover-bad-spillover-industrial-policy-trade-and-the-political-economy-of-decarbonization/,
Policy citation,belfercenter-5dba9e64cb94e9aed30667a7414af8e5,Good Spillover， Bad Spillover? Industrial Policy， Trade， and the Political Economy of Decarbonization,,Belfer Center,USA,think tank,,11/4/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Climate change mitigation  ，Spillover (economics)  ，EU Carbon Border Adjustment Mechanism  ，Life-cycle assessment  ，Greenhouse gas emissions  ，Carbon price  ，Kyoto Protocol  ，Carbon emission trading  ，German Renewable Energy Sources Act  ，Politics of climate change  ，European Union Emissions Trading System  ，European Green Deal  ，Intergovernmental Panel on Climate Change  ，Externality  ，Photovoltaics  ，Policy  ，Climate change  ，Sustainable energy  ，Renewable energy  ，Low-carbon economy  ，Feed-in tariff  ，Subsidy  ，Innovation  ，Economy  ，Clean technology  ，Sustainability  ，Market (economics)  ，Industrial policy  ，Technology  ，Environmental social science  ，Paris Agreement  ，Carbon leakage  ，World Trade Organization  ，Sustainable Development Goals  ，Greenhouse gas  ，Supply chain  ，Solar power  ，Economics  ，Material flow analysis  ，IPCC Sixth Assessment Report  ，Rebound effect (conservation)  ，Emissions trading  ，Globalization,https://www.belfercenter.org/research-analysis/good-spillover-bad-spillover-industrial-policy-trade-and-political-economy,
Policy citation,oecddiscovery-6f29c9a9b81d7c7f5dc5ad5b3548a7ff,Working Together for Better Climate Action,,OECD,IGO,igo,,10/23/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Carbon price  ，Climate change mitigation  ，Carbon Border Adjustment Mechanism  ，Greenhouse gas emissions  ，Politics of climate change  ，Nationally determined contribution  ，Subsidy  ，Climate change  ，Paris Agreement  ，Carbon tax  ，Renewable energy  ，Low-carbon economy  ，Net zero emissions  ，Emissions trading  ，Tax  ，Spillover (economics)  ，Implicit carbon prices  ，Policy  ，Competition (economics)  ，Carbon emission trading  ，EU Carbon Border Adjustment Mechanism  ，Fossil fuel  ，Externality  ，Developing country  ，Emission intensity  ，Climate finance  ，United Nations Framework Convention on Climate Change  ，Sustainable energy  ，Greenhouse gas  ，Macroeconomics  ，Steelmaking  ，Economy  ，Energy transition  ，Infrastructure  ，Pricing  ，Efficient energy use  ，Carbon leakage  ，Air pollution  ，Embedded emissions  ，Global stocktake  ，Market (economics)  ，Carbon pricing in Australia  ，Sustainable Development Goals  ，Market failure  ，Pollution  ，Fossil fuel subsidies  ，European Union  ，European Union Emissions Trading System  ，Export  ，World Bank  ，Electric vehicle  ，Clean technology  ，International Energy Agency  ，Green hydrogen  ，Fuel  ，Price  ，Poverty,https://dx.doi.org/https://doi.org/10.1787/2b90fa2c-en,
Policy citation,unenvironment-5c0eb74478b846cfc1ebf4b8932539d6,Emissions Gap Report 2024: No more hot air … please! With a massive gap between rhetoric and reality， countries draft new climate commitments,,United Nations Environment Programme,IGO,igo,,10/21/24,Climate change impacts on planned supply–demand match in global wind and solar energy systems,10.1038/s41560-023-01304-w,Nationally determined contribution  ，Net zero emissions  ，Climate change mitigation  ，Greenhouse gas emissions  ，Paris Agreement  ，Climate change  ，Carbon budget  ，Greenhouse gas  ，United Nations Framework Convention on Climate Change  ，Kyoto Protocol  ，Land use  ， land-use change  ， and forestry  ，World energy supply and consumption  ，Global stocktake  ，Renewable energy  ，Global warming potential  ，IPCC Sixth Assessment Report  ，Climate variability and change  ，Climate forcing  ，Natural environment  ，International Energy Agency  ，Environmental issues with fossil fuels  ，Carbon offsets and credits  ，Environmental impact  ，Global environmental issues  ，United Nations Climate Change conference  ，Intergovernmental Panel on Climate Change  ，Carbon dioxide  ，Societal collapse  ，Fossil fuel  ，Nature  ，Fuel  ，Electricity generation  ，Carbon sink  ，2023 United Nations Climate Change Conference  ，G20  ，Greenhouse gases  ，Politics of climate change  ，Greenhouse effect,https://wedocs.unep.org/handle/20.500.11822/46404,
Policy citation,wto-d3ceb56f744e067367df0785040089d7,Working together for better climate action: Carbon pricing， policy spillovers， and global climate goals,,World Trade Organization,IGO,igo,,10/18/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Carbon price  ，Climate change mitigation  ，Carbon Border Adjustment Mechanism  ，Greenhouse gas emissions  ，Politics of climate change  ，Nationally determined contribution  ，Subsidy  ，Climate change  ，Paris Agreement  ，Carbon tax  ，Renewable energy  ，Low-carbon economy  ，Net zero emissions  ，Emissions trading  ，Tax  ，Spillover (economics)  ，Implicit carbon prices  ，Policy  ，Competition (economics)  ，Carbon emission trading  ，EU Carbon Border Adjustment Mechanism  ，Fossil fuel  ，Externality  ，Developing country  ，Emission intensity  ，Climate finance  ，United Nations Framework Convention on Climate Change  ，Sustainable energy  ，Greenhouse gas  ，Macroeconomics  ，Steelmaking  ，Economy  ，Energy transition  ，Infrastructure  ，Pricing  ，Efficient energy use  ，Carbon leakage  ，Air pollution  ，Embedded emissions  ，Global stocktake  ，Market (economics)  ，Carbon pricing in Australia  ，Sustainable Development Goals  ，Market failure  ，Pollution  ，Fossil fuel subsidies  ，European Union  ，European Union Emissions Trading System  ，Export  ，World Bank  ，Electric vehicle  ，Clean technology  ，International Energy Agency  ，Green hydrogen  ，Fuel  ，Price  ，Poverty,https://www.wto.org/english/res_e/publications_e/climate_action_e.htm,
Policy citation,irena-9016d6f99b1a101f21146896b871ad15,Renewable energy and jobs: Annual review 2024,,International Renewable Energy Agency,IGO,igo,,10/1/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Renewable energy  ，Photovoltaics  ，Concentrated solar power  ，Wind power  ，Solar power  ，Energy transition  ，Hydroelectricity  ，Offshore wind power  ，Biofuel  ，International Labour Organization  ，International Renewable Energy Agency  ，Biodiesel  ，Education  ，Photovoltaic system  ，Sustainable energy  ，Energy and the environment  ，Renewable resources  ，Energy  ，Sustainable technologies  ，Economy  ，Bioenergy  ，Just transition  ，Electricity generation  ，Wind turbine  ，Sustainable development  ，Renewable Energy Independent Power Producer Procurement Programme  ，Energy technology  ，International labour law  ，Mohammed bin Rashid Al Maktoum Solar Park  ，Off-the-grid  ，Qcells  ，EurObserv'ER  ，Renewable energy commercialization  ，Energy storage  ，Energy development  ，Climate change mitigation,https://www.irena.org/Publications/2024/Oct/Renewable-energy-and-jobs-Annual-review-2024,
Policy citation,governmentofindia-6b43cb4387e75b3d84bc24240ec9468f,Renewable energy and jobs: Annual review 2024,,Government of India,India,government,,9/30/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Renewable energy  ，Photovoltaics  ，Concentrated solar power  ，Wind power  ，International Renewable Energy Agency  ，Solar power  ，Energy transition  ，Offshore wind power  ，Hydroelectricity  ，International Labour Organization  ，Biofuel  ，Biodiesel  ，Education  ，Electricity generation  ，Photovoltaic system  ，Energy  ，Sustainable energy  ，Sustainable technologies  ，Energy and the environment  ，Economy  ，Renewable resources  ，Bioenergy  ，Just transition  ，Sustainable development  ，Qcells  ，Wind turbine  ，Renewable Energy Independent Power Producer Procurement Programme  ，Off-the-grid  ，Mohammed bin Rashid Al Maktoum Solar Park  ，International labour law  ，Energy technology  ，EurObserv'ER  ，Renewable energy commercialization  ，Climate change mitigation  ，Training and development  ，Wind farm  ，Energy storage  ，Energy development,https://nghm.mnre.gov.in/admin/uploads/resources/173069690523453IRENA_Renewable_energy_and_jobs_2024.pdf,
Policy citation,banquedefrance-38d968c0f8bef2b60789b60912a258be,Haute tension : financer la voie vers la sortie du charbon,High voltage: financing the path out of coal,Banque de France,France,government,,8/27/24,Enabling a Rapid and Just Transition away from Coal in China,10.1016/j.oneear.2020.07.012,Coal-fired power station  ，Coal  ，Sustainable energy  ，Greenhouse gas emissions  ，Fossil fuel power station  ，International Energy Agency  ，Low-carbon economy  ，Coal phase-out  ，Capacity factor  ，Climate change  ，Climate change mitigation  ，Carbon price  ，Cost of capital  ，Renewable energy  ，Net zero emissions  ，Stranded asset  ，Energy transition  ，Energy development  ，Developing country  ，Nuclear power phase-out  ，Low-carbon electricity  ，Weighted average cost of capital  ，Infrastructure  ，Power station  ，Electricity generation  ，Intergovernmental Panel on Climate Change  ，Nature  ，Economy  ，Energy  ，Emission intensity  ，Cost of electricity by source  ，Fuel  ，Sustainable finance  ，Air pollution  ，2023 United Nations Climate Change Conference  ，Interest  ，Nuclear decommissioning  ，Carbon budget  ，Fossil fuel  ，Global warming potential  ，Sustainability  ，Politics of climate change  ，Social cost of carbon  ，Debt  ，World energy supply and consumption  ，Finance  ，Carbon capture and storage  ，Environmental social science  ，Capital (economics)  ，Investment  ，China  ，Net present value  ，Pollution,https://www.banque-france.fr/fr/publications-et-statistiques/publications/haute-tension-financer-la-voie-vers-la-sortie-du-charbon,
